filename,leaf-dim-unit,leaf-height,leaf-width,writtenHeight,writtenWidth,LeafDivWritten
collections\Add_A\MS_Add_A_10.xml,,,,,,
collections\Add_A\MS_Add_A_100.xml,mm,220,150,145,110,1.5172413793103448
collections\Add_A\MS_Add_A_103.xml,,,,,,
collections\Add_A\MS_Add_A_105.xml,,,,,,
collections\Add_A\MS_Add_A_106.xml,,,,,,
collections\Add_A\MS_Add_A_107.xml,,,,,,
collections\Add_A\MS_Add_A_108.xml,,,,,,
collections\Add_A\MS_Add_A_109.xml,mm,285,215,202,,1.4108910891089108
collections\Add_A\MS_Add_A_11.xml,mm,200,142,140,87.5,1.4285714285714286
collections\Add_A\MS_Add_A_113.xml,,,,,,
collections\Add_A\MS_Add_A_117.xml,,,,,,
collections\Add_A\MS_Add_A_118.xml,,,,,,
collections\Add_A\MS_Add_A_12.xml,,,,,,
collections\Add_A\MS_Add_A_13.xml,,,,,,
collections\Add_A\MS_Add_A_135.xml,,,,,,
collections\Add_A\MS_Add_A_15.xml,,,,,,
collections\Add_A\MS_Add_A_163.xml,,,,,,
collections\Add_A\MS_Add_A_164.xml,,,,,,
collections\Add_A\MS_Add_A_165.xml,mm,215,145,150.0,85.0,1.4333333333333333
collections\Add_A\MS_Add_A_166.xml,mm,197,140,140,77.5,1.4071428571428573
collections\Add_A\MS_Add_A_167.xml,mm,210,150,157.5,92.5,1.3333333333333333
collections\Add_A\MS_Add_A_168.xml,,,,,,
collections\Add_A\MS_Add_A_169.xml,mm,200,137,140,70,1.4285714285714286
collections\Add_A\MS_Add_A_17.xml,,,,,,
collections\Add_A\MS_Add_A_170.xml,,,,,,
collections\Add_A\MS_Add_A_171.xml,,,,,,
collections\Add_A\MS_Add_A_172.xml,,,,,,
collections\Add_A\MS_Add_A_173.xml,mm,221,155,190,120,1.1631578947368422
collections\Add_A\MS_Add_A_174.xml,,,,,,
collections\Add_A\MS_Add_A_175.xml,,,,,,
collections\Add_A\MS_Add_A_18.xml,,,,,,
collections\Add_A\MS_Add_A_185.xml,,,,,,
collections\Add_A\MS_Add_A_187.xml,mm,225,150,150,95,1.5
collections\Add_A\MS_Add_A_188.xml,mm,237,160,195,115,1.2153846153846153
collections\Add_A\MS_Add_A_189.xml,mm,220,160,165,115,1.3333333333333333
collections\Add_A\MS_Add_A_196.xml,,,,,,
collections\Add_A\MS_Add_A_197.xml,mm,240,163,179.0,112.5,1.3407821229050279
collections\Add_A\MS_Add_A_198.xml,,,,,,
collections\Add_A\MS_Add_A_2.xml,,,,,,
collections\Add_A\MS_Add_A_20.xml,,,,,,
collections\Add_A\MS_Add_A_208.xml,,,,,,
collections\Add_A\MS_Add_A_22.xml,,,,,,
collections\Add_A\MS_Add_A_228.xml,,,,,,
collections\Add_A\MS_Add_A_23.xml,,,,,,
collections\Add_A\MS_Add_A_25.xml,,,,,,
collections\Add_A\MS_Add_A_26.xml,mm,215,155,158,97,1.360759493670886
collections\Add_A\MS_Add_A_263.xml,mm,242.5,172.5,190,122.5,1.2763157894736843
collections\Add_A\MS_Add_A_268.xml,,,,,,
collections\Add_A\MS_Add_A_27.xml,,,,,,
collections\Add_A\MS_Add_A_279.xml,,,,,,
collections\Add_A\MS_Add_A_280.xml,mm,215,155,145,95,1.4827586206896552
collections\Add_A\MS_Add_A_282.xml,,,,,,
collections\Add_A\MS_Add_A_283.xml,,,,,,
collections\Add_A\MS_Add_A_286.xml,mm,205,145,162.5,77.5,1.2615384615384615
collections\Add_A\MS_Add_A_288.xml,mm,215,160,162.5,117.5,1.323076923076923
collections\Add_A\MS_Add_A_29.xml,,,,,,
collections\Add_A\MS_Add_A_30.xml,mm,240,170,160,113,1.5
collections\Add_A\MS_Add_A_365.xml,,,,,,
collections\Add_A\MS_Add_A_367.xml,,,,,,
collections\Add_A\MS_Add_A_369.xml,,,,,,
collections\Add_A\MS_Add_A_370.xml,mm,210,150,155.0,95.0,1.3548387096774193
collections\Add_A\MS_Add_A_371.xml,,,,,,
collections\Add_A\MS_Add_A_373.xml,,,,,,
collections\Add_A\MS_Add_A_4.xml,,,,,,
collections\Add_A\MS_Add_A_42.xml,,,,,,
collections\Add_A\MS_Add_A_44.xml,mm,175,118,132.5,82.5,1.320754716981132
collections\Add_A\MS_Add_A_46.xml,,,,,,
collections\Add_A\MS_Add_A_5.xml,,,,,,
collections\Add_A\MS_Add_A_50.xml,,,,,,
collections\Add_A\MS_Add_A_6.xml,,,,,,
collections\Add_A\MS_Add_A_61.xml,,,,,,
collections\Add_A\MS_Add_A_62.xml,,,,,,
collections\Add_A\MS_Add_A_7.xml,,,,,,
collections\Add_A\MS_Add_A_8.xml,,,,,,
collections\Add_A\MS_Add_A_9.xml,,,,,,
collections\Add_A\MS_Add_A_92.xml,mm,140,105,127.5,70.0,1.0980392156862746
collections\Add_B\MS_Add_B_1.xml,,,,,,
collections\Add_B\MS_Add_B_103.xml,,,,,,
collections\Add_B\MS_Add_B_107.xml,,,,,,
collections\Add_B\MS_Add_B_110.xml,,,,,,
collections\Add_B\MS_Add_B_111.xml,,,,,,
collections\Add_B\MS_Add_B_119.xml,,,,,,
collections\Add_B\MS_Add_B_15.xml,,,,,,
collections\Add_B\MS_Add_B_17.xml,,,,,,
collections\Add_B\MS_Add_B_3.xml,,,,,,
collections\Add_B\MS_Add_B_54.xml,mm,160,105,105,62.5,1.5238095238095237
collections\Add_B\MS_Add_B_55.xml,,,,,,
collections\Add_B\MS_Add_B_59.xml,,,,,,
collections\Add_B\MS_Add_B_6.xml,,,,,,
collections\Add_B\MS_Add_B_60.xml,,,,,,
collections\Add_B\MS_Add_B_62.xml,mm,180,133,137.5,98.5,1.309090909090909
collections\Add_B\MS_Add_B_65.xml,,,,,,
collections\Add_B\MS_Add_B_66.xml,,,,,,
collections\Add_C\MS_Add_C_105.xml,,,,,,
collections\Add_C\MS_Add_C_108.xml,mm,275,205,c. 217,153,
collections\Add_C\MS_Add_C_109.xml,mm,275,205,c. 195,135,
collections\Add_C\MS_Add_C_110.xml,mm,275,205,c. 205,150,
collections\Add_C\MS_Add_C_12.xml,,,,,,
collections\Add_C\MS_Add_C_13.xml,mm,335,235,222.5,,1.5056179775280898
collections\Add_C\MS_Add_C_133.xml,,,,,,
collections\Add_C\MS_Add_C_135.xml,,,,,,
collections\Add_C\MS_Add_C_136.xml,,,,,,
collections\Add_C\MS_Add_C_137.xml,,,,,,
collections\Add_C\MS_Add_C_138.xml,,,,,,
collections\Add_C\MS_Add_C_139.xml,,,,,,
collections\Add_C\MS_Add_C_14.xml,,,,,,
collections\Add_C\MS_Add_C_140.xml,,,,,,
collections\Add_C\MS_Add_C_141.xml,,,,,,
collections\Add_C\MS_Add_C_142.xml,mm,260,160,184,115,1.4130434782608696
collections\Add_C\MS_Add_C_143.xml,,,,,,
collections\Add_C\MS_Add_C_144.xml,,,,,,
collections\Add_C\MS_Add_C_145.xml,mm,239,176,162.5,122.5,1.4707692307692308
collections\Add_C\MS_Add_C_146.xml,,,,,,
collections\Add_C\MS_Add_C_147.xml,mm,265,190,160,110,1.65625
collections\Add_C\MS_Add_C_149.xml,,,,,,
collections\Add_C\MS_Add_C_15.xml,mm,320,240,240.0,160.0,1.3333333333333333
collections\Add_C\MS_Add_C_150.xml,,,,,,
collections\Add_C\MS_Add_C_151.xml,mm,342,240,230,165,1.4869565217391305
collections\Add_C\MS_Add_C_152.xml,,,,,,
collections\Add_C\MS_Add_C_153.xml,mm,310,220,215,120,1.441860465116279
collections\Add_C\MS_Add_C_154.xml,,,,,,
collections\Add_C\MS_Add_C_155.xml,,,,,,
collections\Add_C\MS_Add_C_16.xml,,,,,,
collections\Add_C\MS_Add_C_169.xml,,,,,,
collections\Add_C\MS_Add_C_181.xml,,,,,,
collections\Add_C\MS_Add_C_188.xml,mm,255,165,192.5,112.5,1.3246753246753247
collections\Add_C\MS_Add_C_192.xml,mm,325,240,232.5,95.0,1.3978494623655915
collections\Add_C\MS_Add_C_2.xml,,,,,,
collections\Add_C\MS_Add_C_21.xml,,,,,,
collections\Add_C\MS_Add_C_214.xml,,,,,,
collections\Add_C\MS_Add_C_220.xml,,,,,,
collections\Add_C\MS_Add_C_22_not_found.xml,,,,,,
collections\Add_C\MS_Add_C_23.xml,,,,,,
collections\Add_C\MS_Add_C_249.xml,mm,258,200,,,
collections\Add_C\MS_Add_C_25.xml,,,,,,
collections\Add_C\MS_Add_C_252.xml,mm,190,115,295,205,0.6440677966101694
collections\Add_C\MS_Add_C_259.xml,,,,,,
collections\Add_C\MS_Add_C_260.xml,mm,c. 315,225,c. 230,140,
collections\Add_C\MS_Add_C_263.xml,,,,,,
collections\Add_C\MS_Add_C_264.xml,mm,300,220,202.5,110,1.4814814814814814
collections\Add_C\MS_Add_C_265.xml,,,,,,
collections\Add_C\MS_Add_C_269.xml,,,,,,
collections\Add_C\MS_Add_C_271.xml,,,,,,
collections\Add_C\MS_Add_C_273.xml,,,,,,
collections\Add_C\MS_Add_C_274.xml,,,,,,
collections\Add_C\MS_Add_C_277.xml,,,,,,
collections\Add_C\MS_Add_C_280.xml,,,,,,
collections\Add_C\MS_Add_C_283.xml,,,,,,
collections\Add_C\MS_Add_C_284.xml,,,,,,
collections\Add_C\MS_Add_C_285.xml,,,,,,
collections\Add_C\MS_Add_C_29.xml,mm,280,220,228,177,1.2280701754385965
collections\Add_C\MS_Add_C_291.xml,,,,,,
collections\Add_C\MS_Add_C_292.xml,,,,,,
collections\Add_C\MS_Add_C_309.xml,,,,,,
collections\Add_C\MS_Add_C_38.xml,,,,,,
