filename,SCN,items,EAD items,EAD match
MSS. Douce 202–3,21776,1,#N/A,#N/A
MSS. Douce 211–12,21785,1,#N/A,#N/A
MSS. Douce 219–20,21793,17,#N/A,#N/A
MSS. Douce 273–4,21847,1,#N/A,#N/A
MSS. Douce 336–7,21911,3,#N/A,#N/A
MSS. Douce 5–6,21579,9,#N/A,#N/A
MS. Douce 1,21575,1,1,MS. Douce 1
MS. Douce 10,21584,1,1,MS. Douce 10
MS. Douce 100,21674,1,1,MS. Douce 100
MS. Douce 101,21675,2,2,MS. Douce 101
MS. Douce 102,21676,1,1,MS. Douce 102
MS. Douce 103,21677,6,8,MS. Douce 103
MS. Douce 104,21678,3,2,MS. Douce 104
MS. Douce 107,21681,7,9,MS. Douce 107
MS. Douce 108,21682,1,1,MS. Douce 108
MS. Douce 109,21683,1,1,MS. Douce 109
MS. Douce 11,21585,1,1,MS. Douce 11
MS. Douce 110,21684,4,5,MS. Douce 110
MS. Douce 111,21685,1,2,MS. Douce 111
MS. Douce 112,21686,12,2,MS. Douce 112
MS. Douce 113,21687,1,2,MS. Douce 113
MS. Douce 114,21688,5,6,MS. Douce 114
MS. Douce 115,21689,4,2,MS. Douce 115
MS. Douce 117,21691,1,1,MS. Douce 117
MS. Douce 118,21692,7,#N/A,#N/A
MS. Douce 119,21693,1,2,MS. Douce 119
MS. Douce 12,21586,1,1,MS. Douce 12
MS. Douce 120,21694,2,2,MS. Douce 120
MS. Douce 121,21695,1,2,MS. Douce 121
MS. Douce 122,21696,1,2,MS. Douce 122
MS. Douce 125,21699,1,2,MS. Douce 125
MS. Douce 126,21700,3,5,MS. Douce 126
MS. Douce 127,21701,7,1,MS. Douce 127
MS. Douce 128,21702,4,6,MS. Douce 128
MS. Douce 129,21703,2,5,MS. Douce 129
MS. Douce 13,21587,3,4,MS. Douce 13
MS. Douce 130,21704,1,1,MS. Douce 130
MS. Douce 131,21705,5,1,MS. Douce 131
MS. Douce 132,21706,4,7,MS. Douce 132
MS. Douce 133,21707,1,1,MS. Douce 133
MS. Douce 134,21708,1,1,MS. Douce 134
MS. Douce 135,21709,1,1,MS. Douce 135
MS. Douce 136,21710,23,3,MS. Douce 136
MS. Douce 137,21711,6,5,MS. Douce 137
MS. Douce 138,21712,1,2,MS. Douce 138
MS. Douce 139,21713,10,9,MS. Douce 139
MS. Douce 14,21588,1,2,MS. Douce 14
